
"20 rupaye jama karo Vikram ke account mein","add_entry"
"Neha ka balance check karo","show_balance"
"15 rupee kat do Rajesh ke khate se","subtraction"
"Anita ke 30 rupaye add kar do","add_entry"
"Delete karo 25 rupaye wala entry Sandeep ka","delete_entry"
"Kavita ka hisaab kitab email karo","actions"
"Show Rahul's total balance","show_balance"
"50 rupaye ghata do Preeti ke account se","subtraction"
"Amit ke 40 rupee jama karo","add_entry"
"Suresh ka statement generate karo","actions"
"10 rupaye kaat do Meena ke khate se","subtraction"
"Ravi ke 60 rupaye add kar do","add_entry"
"Pooja ka current balance batao","show_balance"
"35 rupaye wali entry delete karo Sanjay ki","delete_entry"
"Geeta ke 25 rupee kat do","subtraction"
"80 rupaye jama karo Vijay ke account mein","add_entry"
"Shweta ka total expenditure dikhao","show_balance"
"Nikhil ke 45 rupaye minus karo","subtraction"
"100 rupaye add karo Priyanka ke khate mein","add_entry"
"Ashok ka statement bhejo WhatsApp par","actions"
"55 rupaye ki entry Mohan ki delete karo","delete_entry"
"Sunita ke 70 rupee jama kar do","add_entry"
"Ramesh ka balance sheet generate karo","actions"
"30 rupaye ghata do Anjali ke account se","subtraction"
"Rohit ke 85 rupaye add karo","add_entry"
"Deepak ka current balance check karo","show_balance"
"40 rupaye wali entry Manish ki kaat do","delete_entry"
"Sapna ke 65 rupee jama karo","add_entry"
"Alok ka hisaab kitab dikhao","show_balance"
"95 rupaye minus karo Neeta ke khate se","subtraction"
"Rajiv ke 110 rupaye add kar do","add_entry"
"Sarita ka balance statement email karo","actions"
"25 rupaye ki entry delete karo Vivek ki","delete_entry"
"Ankit ke 75 rupee jama karo","add_entry"
"Manju ka total balance batao","show_balance"
"50 rupaye ghata do Sunil ke account se","subtraction"
"Kiran ke 90 rupaye add kar do","add_entry"
"Prakash ka hisaab generate karo","actions"
"20 rupaye kaat do Swati ke khate se","subtraction"
"Arun ke 120 rupaye jama karo","add_entry"
"Nisha ka current expenditure dikhao","show_balance"
"45 rupaye wali entry delete karo Rakesh ki","delete_entry"
"Shalini ke 35 rupee kat do","subtraction"
"70 rupaye add karo Dinesh ke account mein","add_entry"
"Jyoti ka total balance check karo","show_balance"
"Saurabh ke 55 rupaye minus karo","subtraction"
"130 rupaye jama karo Anjana ke khate mein","add_entry"
"Manoj ka statement bhejo email par","actions"
"60 rupaye ki entry Shikha ki delete karo","delete_entry"
"Rajeev ke 80 rupee add kar do","add_entry"
"Sneha ka balance sheet generate karo","actions"
"40 rupaye ghata do Vinod ke account se","subtraction"
"Asha ke 95 rupaye jama karo","add_entry"
"Dheeraj ka current balance batao","show_balance"
"30 rupaye wali entry Kavita ki kaat do","delete_entry"
"Sudhir ke 75 rupee add karo","add_entry"
"Priya ka hisaab kitab dikhao","show_balance"
"85 rupaye minus karo Ajay ke khate se","subtraction"
"Meenakshi ke 100 rupaye jama kar do","add_entry"
"Ramesh ka balance statement WhatsApp karo","actions"
"15 rupaye ki entry delete karo Sunita ki","delete_entry"
"Rajat ke 65 rupee add kar do","add_entry"
"Poornima ka total expenditure check karo","show_balance"
"55 rupaye ghata do Abhishek ke account se","subtraction"
"Neha ke 110 rupaye jama karo","add_entry"
"Vikrant ka hisaab generate karo","actions"
"25 rupaye kaat do Smita ke khate se","subtraction"
"Amit ke 140 rupaye add kar do","add_entry"
"Shruti ka current balance dikhao","show_balance"
"50 rupaye wali entry delete karo Rahul ki","delete_entry"
"Anita ke 45 rupee kat do","subtraction"
"90 rupaye add karo Sanjay ke account mein","add_entry"
"Ritu ka total balance check karo","show_balance"
"Vishal ke 70 rupaye minus karo","subtraction"
"120 rupaye jama karo Deepika ke khate mein","add_entry"
"Alok ka statement bhejo SMS par","actions"
"35 rupaye ki entry Monika ki delete karo","delete_entry"
"Raghav ke 85 rupee add kar do","add_entry"
"Swati ka balance sheet generate karo","actions"
"60 rupaye ghata do Nitin ke account se","subtraction"
"Priyanka ke 105 rupaye jama karo","add_entry"
"Saurabh ka current balance batao","show_balance"
"40 rupaye wali entry Ankit ki kaat do","delete_entry"
"Neetu ke 75 rupee add karo","add_entry"
"Vivek ka hisaab kitab dikhao","show_balance"
"95 rupaye minus karo Shweta ke khate se","subtraction"
"Rajesh ke 130 rupaye jama kar do","add_entry"
"Anjali ka balance statement email karo","actions"
"20 rupaye ki entry delete karo Sunil ki","delete_entry"
"Manisha ke 70 rupee add kar do","add_entry"
"Rohit ka total expenditure check karo","show_balance"
"45 rupaye ghata do Priya ke account se","subtraction"
"Anil ke 100 rupaye jama karo","add_entry"
