
"Deposit 20 rupees to Vikram's account","add_entry"
"Check Neha's balance","show_balance"
"Subtract 15 rupees from Rajesh's account","subtraction"
"Add 30 rupees to Anita's account","add_entry"
"Delete the 25 rupee entry of Sandeep","delete_entry"
"Email Kavita's account statement","actions"
"Show Rahul's total balance","show_balance"
"Subtract 50 rupees from Preeti's account","subtraction"
"Deposit 40 rupees to Amit's account","add_entry"
"Generate Suresh's statement","actions"
"Subtract 10 rupees from Meena's account","subtraction"
"Add 60 rupees to Ravi's account","add_entry"
"Show Pooja's current balance","show_balance"
"Delete the 35 rupee entry of Sanjay","delete_entry"
"Subtract 25 rupees from Geeta's account","subtraction"
"Deposit 80 rupees to Vijay's account","add_entry"
"Show Shweta's total expenditure","show_balance"
"Subtract 45 rupees from Nikhil's account","subtraction"
"Add 100 rupees to Priyanka's account","add_entry"
"Send Ashok's statement on WhatsApp","actions"
"Delete the 55 rupee entry of Mohan","delete_entry"
"Deposit 70 rupees to Sunita's account","add_entry"
"Generate Ramesh's balance sheet","actions"
"Subtract 30 rupees from Anjali's account","subtraction"
"Add 85 rupees to Rohit's account","add_entry"
"Check Deepak's current balance","show_balance"
"Delete the 40 rupee entry of Manish","delete_entry"
"Deposit 65 rupees to Sapna's account","add_entry"
"Show Alok's account statement","show_balance"
"Subtract 95 rupees from Neeta's account","subtraction"
"Add 110 rupees to Rajiv's account","add_entry"
"Email Sarita's balance statement","actions"
"Delete the 25 rupee entry of Vivek","delete_entry"
"Deposit 75 rupees to Ankit's account","add_entry"
"Show Manju's total balance","show_balance"
"Subtract 50 rupees from Sunil's account","subtraction"
"Add 90 rupees to Kiran's account","add_entry"
"Generate Prakash's account statement","actions"
"Subtract 20 rupees from Swati's account","subtraction"
"Deposit 120 rupees to Arun's account","add_entry"
"Show Nisha's current expenditure","show_balance"
"Delete the 45 rupee entry of Rakesh","delete_entry"
"Subtract 35 rupees from Shalini's account","subtraction"
"Add 70 rupees to Dinesh's account","add_entry"
"Check Jyoti's total balance","show_balance"
"Subtract 55 rupees from Saurabh's account","subtraction"
"Deposit 130 rupees to Anjana's account","add_entry"
"Send Manoj's statement on email","actions"
"Delete the 60 rupee entry of Shikha","delete_entry"
"Add 80 rupees to Rajeev's account","add_entry"
"Generate Sneha's balance sheet","actions"
"Subtract 40 rupees from Vinod's account","subtraction"
"Deposit 95 rupees to Asha's account","add_entry"
"Show Dheeraj's current balance","show_balance"
"Delete the 30 rupee entry of Kavita","delete_entry"
"Add 75 rupees to Sudhir's account","add_entry"
"Show Priya's account statement","show_balance"
"Subtract 85 rupees from Ajay's account","subtraction"
"Deposit 100 rupees to Meenakshi's account","add_entry"
"Send Ramesh's balance statement on WhatsApp","actions"
"Delete the 15 rupee entry of Sunita","delete_entry"
"Add 65 rupees to Rajat's account","add_entry"
"Check Poornima's total expenditure","show_balance"
"Subtract 55 rupees from Abhishek's account","subtraction"
"Deposit 110 rupees to Neha's account","add_entry"
"Generate Vikrant's account statement","actions"
"Subtract 25 rupees from Smita's account","subtraction"
"Add 140 rupees to Amit's account","add_entry"
"Show Shruti's current balance","show_balance"
"Delete the 50 rupee entry of Rahul","delete_entry"
"Subtract 45 rupees from Anita's account","subtraction"
"Add 90 rupees to Sanjay's account","add_entry"
"Check Ritu's total balance","show_balance"
"Subtract 70 rupees from Vishal's account","subtraction"
"Deposit 120 rupees to Deepika's account","add_entry"
"Send Alok's statement on SMS","actions"
"Delete the 35 rupee entry of Monika","delete_entry"
"Add 85 rupees to Raghav's account","add_entry"
"Generate Swati's balance sheet","actions"
"Subtract 60 rupees from Nitin's account","subtraction"
"Deposit 105 rupees to Priyanka's account","add_entry"
"Show Saurabh's current balance","show_balance"
"Delete the 40 rupee entry of Ankit","delete_entry"
"Add 75 rupees to Neetu's account","add_entry"
"Show Vivek's account statement","show_balance"
"Subtract 95 rupees from Shweta's account","subtraction"
"Deposit 130 rupees to Rajesh's account","add_entry"
"Email Anjali's balance statement","actions"
"Delete the 20 rupee entry of Sunil","delete_entry"
